Reaction,ReactionName,Flux
CYTDK2,"Cytidine kinase (GTP)",0
XPPT,"Xanthine phosphoribosyltransferase",0
HXPRT,"Hypoxanthine phosphoribosyltransferase (Hypoxanthine)",0
NDPK5,"Nucleoside-diphosphate kinase (ATP:dGDP)",0
SHK3Dr,"Shikimate dehydrogenase",0
NDPK6,"Nucleoside-diphosphate kinase (ATP:dUDP)",-0.294610778443143
NDPK8,"Nucleoside-diphosphate kinase (ATP:dADP)",0
DHORTS,"Dihydroorotase",0
OMPDC,"Orotidine-5'-phosphate decarboxylase",0
PYNP2r,"Pyrimidine-nucleoside phosphorylase (uracil)",-0.294610778443143
G5SD,"Glutamate-5-semialdehyde dehydrogenase",0
CS,"Citrate synthase",0
ICDHyr,"Isocitrate dehydrogenase (NADP)",0
ALATA_L2,"Alanine transaminase",0
DURIPP,"Deoxyuridine phosphorylase",0.294610778443143
ACALD,"Acetaldehyde dehydrogenase (acetylating)",0.29461077844303
PTRCTA,"Putrescine Transaminase",0
ACS,"Acetyl-CoA synthetase",0
CYSDS,"Cysteine Desulfhydrase",0
MAN6PI,"Mannose-6-phosphate isomerase",0
PPA,"Inorganic diphosphatase",8.03928143712566
APRAUR,"5-amino-6-(5-phosphoribosylamino)uracil reductase",0
TRPAS2,"Tryptophanase (L-tryptophan)",0
PPCK,"Phosphoenolpyruvate carboxykinase",0
ME1,"Malic enzyme (NAD)",0
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0
ALAR,"Alanine racemase",0
RBFK,"Riboflavin kinase",0
ALATA_L,"L-alanine transaminase",-1000
XYLK,"Xylulokinase",0
RBK,"Ribokinase",0
GLYK,"Glycerol kinase",0
PPM,"Phosphopentomutase",-0.294610778443143
ASPTA,"Aspartate transaminase",0
ACP1_FMN,"Acid phosphatase (FMN)",0
RBFSb,"Riboflavin synthase",0
NDP3,"Nucleoside diphosphatase  GDP ",0
CDPPH,"CDP phosphohydrolase",0
NDP7,"Nucleoside diphosphatase  UDP ",0
FBP,"Fructose-bisphosphatase",0
EX_pi_e,"Phosphate exchange",0
GLGC,"Glucose-1-phosphate adenylyltransferase",0
ALATA_D2,"D-alanine transaminase",0
PYK,"Pyruvate kinase",0
SHCHD2,"Sirohydrochlorin dehydrogenase (NAD)",0
EX_co2_e,"CO2 exchange",3.72502994011984
A5PISO,"Arabinose-5-phosphate isomerase",0
PMDPHT,"Pyrimidine phosphatase",0
CPPPGO,"Coproporphyrinogen oxidase (O2 required)",0
EX_met__L_e,"L-Methionine exchange",0
GTHOr,"Glutathione oxidoreductase",0
ILETA,"Isoleucine transaminase",0
DHORD5,"Dihydroorotic acid (menaquinone-8)",0
EX_metsox_S__L_e,"L-Methionine S-oxide exchange",0
GLYCTO2,"Glycolate oxidase",0
VALTA,"Valine transaminase",1000
GLYCTO3,"Glycolate oxidase",0
IPPMIb,"2-isopropylmalate hydratase",0
GLYCTO4,"Glycolate oxidase",0
ORPT,"Orotate phosphoribosyltransferase",0
RBFSa,"Riboflavin synthase",0
ACHBS,"2-aceto-2-hydroxybutanoate synthase",0
PFK_3,"Phosphofructokinase (s7p)",0
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0
ACLS,"Acetolactate synthase",0
TRPS2,"Tryptophan synthase (indole)",0
PSCVT,"3-phosphoshikimate 1-carboxyvinyltransferase",0
G3PD5,"Glycerol-3-phosphate dehydrogenase (ubiquinone-8)",0
G1PP,"Glucose-1-phosphatase",0
PFL,"Pyruvate formate lyase",0
EX_acgam_e,"N-Acetyl-D-glucosamine exchange",0
ANS,"Anthranilate synthase",0
FRD2,"Fumarate reductase",0
FRD3,"Fumarate reductase",0
ANPRT,"Anthranilate phosphoribosyltransferase",0
POX,"Pyruvate oxidase",0
CHORM,"Chorismate mutase",0
PTAr,"Phosphotransacetylase",0
CHORS,"Chorismate synthase",0
IGPS,"Indole-3-glycerol-phosphate synthase",0
ACKr,"Acetate kinase",0
EX_cellb_e,"Cellobiose exchange",0
EX_crn_e,"L-Carnitine exchange",0
EX_hxan_e,"Hypoxanthine exchange",0
EX_ile__L_e,"L-Isoleucine exchange",0
EX_chol_e,"Choline exchange",0
EX_fe3_e,"Fe3+ exchange",0
LEUTAi,"Leucine transaminase (irreversible)",0
EX_lac__L_e,"L-Lactate exchange",0
EX_leu__L_e,"L-Leucine exchange",0
EX_glcn_e,"D-Gluconate exchange",0
EX_no3_e,"Nitrate exchange",0
EX_h_e,"H+ exchange",8.03928143712596
DMATT,"Dimethylallyltranstransferase",0
EX_orn_e,"Ornithine exchange",0
GRTT,"Geranyltranstransferase",0
EX_gln__L_e,"L-Glutamine exchange",0
UPP3S,"Uroporphyrinogen-III synthase",0
EX_pro__L_e,"L-Proline exchange",0
EX_glyc_e,"Glycerol exchange",0
UPPDC1,"Uroporphyrinogen decarboxylase (uroporphyrinogen III)",0
EX_man_e,"D-Mannose exchange",0
TMDPP,"Thymidine phosphorylase",0
EX_ade_e,"Adenine exchange",0
EX_mn2_e,"Mn2+ exchange",0
EX_4abut_e,"4-Aminobutanoate exchange",0
EX_ac_e,"Acetate exchange",0
EX_akg_e,"2-Oxoglutarate exchange",0
EX_ala__L_e,"L-Alanine exchange",0
EX_arg__L_e,"L-Arginine exchange",0
EX_asp__L_e,"L-Aspartate exchange",0
EX_pyr_e,"Pyruvate exchange",0
EX_succ_e,"Succinate exchange",0
EX_thymd_e,"Thymidine exchange",0
EX_rib__D_e,"D-Ribose exchange",0
EX_tyr__L_e,"L-Tyrosine exchange",0
EX_cytd_e,"Cytidine exchange",0
EX_dcyt_e,"Deoxycytidine exchange",0
MOAT,"3-deoxy-D-manno-octulosonic acid transferase",0
EX_fum_e,"Fumarate exchange",0
EX_sbt__D_e,"D-Sorbitol exchange",0
EX_glu__L_e,"L-Glutamate exchange",0
UDCPDPS,"Undecaprenyl diphosphate synthase",0
ECOAH6,"3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)",0
USHD,"UDP-sugar hydrolase",0
EX_gua_e,"Guanine exchange",0
ENO,"Enolase",3.72502994011984
FBA,"Fructose-bisphosphate aldolase",1.76431137724558
HCO3E,"HCO3 equilibration reaction",0
MGSA,"Methylglyoxal synthase",0
IMPC,"IMP cyclohydrolase",0
IMPD,"IMP dehydrogenase",0
PPS,"Phosphoenolpyruvate synthase",0
ECOAH4,"3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)",0
LPADSS,"Lipid A disaccaride synthase",0
GLUTRS,"Glutamyl-tRNA synthetase",0
TDSK,"Tetraacyldisaccharide 4'kinase",0
PGI,"Glucose-6-phosphate isomerase",-0.29461077844303
TMPPP,"Thiamine-phosphate diphosphorylase",0
EX_btn_e,"Biotin exchange",0
PGK,"Phosphoglycerate kinase",-3.72502994011984
EX_ptrc_e,"Putrescine exchange",0
EDA,"2-dehydro-3-deoxy-phosphogluconate aldolase",0
EX_spmd_e,"Spermidine exchange",0
EX_thym_e,"Thymine exchange",0
EX_xtsn_e,"Xanthosine exchange",0
NTPP1,"Nucleoside triphosphate pyrophosphorylase (dgtp)",0
URIK1,"Uridine kinase  ATPUridine ",0.29461077844314
URIK2,"Uridine kinase (GTP:Uridine)",0
NTPP2,"Nucleoside triphosphate pyrophosphorylase (gtp)",0
PGL,"6-phosphogluconolactonase",0
